file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,class,21,21,0,21,8,1,0,36,0,0.3125,0.85714287,1,8,0,0,0,0,8,8,0,0,0,4,0,0,0,0,4,0,0,13,100,3,0,0,0,4,47,7,20,0,24,1,0,0,1,58,0,0
C:\akhq-dev\src\main\java\org\akhq\utils\ClaimRequest.java,org.akhq.utils.ClaimRequest,class,5,13,8,5,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,1,0
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,class,14,16,2,14,4,1,0,27,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,24,4,0,0,1,0,2,0,6,1,9,1,0,0,1,24,1,0
C:\akhq-dev\src\test\java\org\akhq\utils\BookProto.java,org.akhq.utils.BookProto$BookOrBuilder,interface,4,4,0,4,7,1,0,0,21,0,0,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\akhq-dev\src\main\java\org\akhq\controllers\TopicController.java,org.akhq.controllers.TopicController$SearchRecord,innerclass,5,5,0,5,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,2,0,0,9,0,0,0,0,0,3,0,2,0,3,0,0,0,0,6,9,0
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,class,8,11,3,8,4,1,0,18,0,0.375,1,1,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,1,0,2,31,1,2,0,0,0,0,0,6,0,6,1,0,1,0,19,1,0
C:\akhq-dev\src\main\java\org\akhq\modules\schemaregistry\AvroSerializer.java,org.akhq.modules.schemaregistry.AvroSerializer$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,class,6,13,7,6,3,2,2,4,0,0,1,1,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,6,0,2,0,0,1,0,4,1,0
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,innerclass,17,17,0,17,87,2,0,44,826,0.92613626,0.053426247,0.10220674,44,17,38,3,3,0,42,0,3,0,12,7,4,8,0,0,7,0,2,644,53,5,14,1,19,2,57,70,22,35,4,1,1,0,160,25,0
C:\akhq-dev\src\main\java\org\akhq\utils\Debug.java,org.akhq.utils.Debug,class,6,8,2,6,12,1,0,19,9,0.5,0.3,0.3,6,6,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,12,52,3,2,0,1,2,14,4,8,10,6,1,0,0,0,28,1,4
