file,class,method,variable,usage
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,ldapGroupProcessor/0,ldapGroupProcessor,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,failure/0,contextBuilder,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,failure/0,ldapAuthenticationProvider,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,failure/0,ldapSearchService,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,contextBuilder,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,ldapAuthenticationProvider,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,ldapSearchService,2
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,ldapGroupProcessor,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,contextBuilder,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,ldapAuthenticationProvider,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,ldapSearchService,2
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,ldapGroupProcessor,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,ldapSearchService/0,ldapSearchService,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,contextBuilder,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,ldapAuthenticationProvider,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,ldapSearchService,2
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,ldapGroupProcessor,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,contextBuilder,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,ldapAuthenticationProvider,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,ldapSearchService,2
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,ldapGroupProcessor,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,contextBuilder/0,contextBuilder,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",securityProperties,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",claimProvider,2
C:\akhq-dev\src\main\java\org\akhq\controllers\TopicController.java,org.akhq.controllers.TopicController$SearchRecord,"SearchRecord/2[double,java.lang.String]",after,3
C:\akhq-dev\src\main\java\org\akhq\controllers\TopicController.java,org.akhq.controllers.TopicController$SearchRecord,"SearchRecord/2[double,java.lang.String]",percent,3
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],clientId,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],assignments,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],host,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],id,1
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,getGroupedAssignments/0,assignments,1
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,TopicPartition/1[org.akhq.models.TopicPartition],partition,1
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,TopicPartition/1[org.akhq.models.TopicPartition],topic,1
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,TopicPartition/1[org.apache.kafka.common.TopicPartition],partition,2
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,TopicPartition/1[org.apache.kafka.common.TopicPartition],topic,2
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,"TopicPartition/2[java.lang.String,int]",partition,3
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,"TopicPartition/2[java.lang.String,int]",topic,3
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getSongTitleCount/0,songTitle_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getDefaultInstance/0,DEFAULT_INSTANCE,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getArtistBytes/1[int],artist_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getSongTitleList/0,songTitle_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getTitle/0,title_,2
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getDefaultInstanceForType/0,DEFAULT_INSTANCE,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,hashCode/0,RELEASE_YEAR_FIELD_NUMBER,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,hashCode/0,TITLE_FIELD_NUMBER,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,hashCode/0,SONG_TITLE_FIELD_NUMBER,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,hashCode/0,ARTIST_FIELD_NUMBER,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getTitleBytes/0,title_,2
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,newBuilder/1[org.akhq.utils.AlbumProto.Album],DEFAULT_INSTANCE,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,Album/0,artist_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,Album/0,title_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,Album/0,songTitle_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getArtistCount/0,artist_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,toBuilder/0,DEFAULT_INSTANCE,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,"Album/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",artist_,4
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,"Album/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",releaseYear_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,"Album/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",title_,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,"Album/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",songTitle_,4
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,writeTo/1[com.google.protobuf.CodedOutputStream],artist_,2
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,writeTo/1[com.google.protobuf.CodedOutputStream],releaseYear_,2
