file,class,method,variable,usage
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,failure/0,authenticationException,3
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,failure/0,optionalResult,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,optionalResult,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,response,5
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,roles,4
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,topicsFilterList,3
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithLdapGroupAndUserRole/0,listResults,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,optionalResult,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,response,5
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,roles,4
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,topicsFilterList,3
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithMultipleLdapGroups/0,listResults,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,optionalResult,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,response,5
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,roles,3
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,success/0,listResults,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,optionalResult,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,response,4
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,roles,1
C:\akhq-dev\src\test\java\org\akhq\modules\LdapAuthenticationProviderTest.java,org.akhq.modules.LdapAuthenticationProviderTest,successWithoutRoles/0,listResults,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",optionalBasicAuth,2
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",request,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",claimProviderClass,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",auth,4
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",e,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",basicAuth,1
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",claim,2
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",httpRequest,0
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",authenticationRequest,2
C:\akhq-dev\src\main\java\org\akhq\modules\BasicAuthAuthenticationProvider.java,org.akhq.modules.BasicAuthAuthenticationProvider,"authenticate/2[org.akhq.modules.HttpRequest<?>,org.akhq.modules.AuthenticationRequest<?,?>]",username,2
C:\akhq-dev\src\main\java\org\akhq\controllers\TopicController.java,org.akhq.controllers.TopicController$SearchRecord,"SearchRecord/2[double,java.lang.String]",after,2
C:\akhq-dev\src\main\java\org\akhq\controllers\TopicController.java,org.akhq.controllers.TopicController$SearchRecord,"SearchRecord/2[double,java.lang.String]",percent,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],assignment,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,Consumer/1[org.akhq.models.MemberDescription],description,4
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,getGroupedAssignments/0,item,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,getGroupedAssignments/0,list,2
C:\akhq-dev\src\main\java\org\akhq\models\Consumer.java,org.akhq.models.Consumer,getGroupedAssignments/0,collect,2
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,TopicPartition/1[org.akhq.models.TopicPartition],topicPartition,2
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,TopicPartition/1[org.apache.kafka.common.TopicPartition],topicPartition,2
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,"TopicPartition/2[java.lang.String,int]",partition,2
C:\akhq-dev\src\main\java\org\akhq\models\TopicPartition.java,org.akhq.models.TopicPartition,"TopicPartition/2[java.lang.String,int]",topic,2
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,parseDelimitedFrom/1[java.io.InputStream],input,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,parseFrom/1[java.io.InputStream],input,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,"parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]",input,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,"parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\akhq-dev\src\test\java\org\akhq\utils\AlbumProto.java,org.akhq.utils.AlbumProto$Album,getArtistBytes/1[int],index,1
