file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GDataConverterBE.java,mobiledevices.dmg.ghidra.GDataConverterBE,class,3,6,3,3,31,1,0,11,300,1,0,0,25,0,25,0,0,0,25,0,12,0,2,2,1,1,0,0,2,0,0,107,11,5,0,0,14,1,40,23,15,13,1,0,0,0,51,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\zlib\ZLIB.java,mobiledevices.dmg.zlib.ZLIB,class,2,4,2,2,17,1,0,16,15,0,0,0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,69,5,3,4,1,0,1,14,18,2,15,3,0,0,0,58,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,class,3,7,4,3,8,1,0,8,2,0.6,0.4,1,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,39,4,0,2,0,2,1,7,9,5,8,1,0,0,0,31,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeTypes.java,mobiledevices.dmg.btree.BTreeTypes,class,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,16,17,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,class,2,4,2,2,30,1,0,12,33,0.7428571,0.25454545,0.5090909,14,0,10,3,1,0,11,0,0,0,10,2,0,10,0,0,2,0,1,131,5,1,1,0,4,2,19,43,12,19,3,0,0,0,230,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,class,2,3,1,2,16,1,0,10,58,0.7692308,0.060606062,0.060606062,13,12,12,1,0,0,12,0,0,0,3,3,3,0,0,0,3,0,12,53,12,2,1,0,4,1,9,8,1,7,1,0,0,0,76,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GSystemUtilities.java,mobiledevices.dmg.ghidra.GSystemUtilities,class,0,0,0,0,2,1,0,1,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,1,0,0,0,0,0,1,0,0,0,9,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,class,4,8,4,4,14,1,1,11,39,0.8181819,0.14545454,0.4181818,11,0,8,0,2,1,11,0,0,0,8,0,0,8,0,0,0,0,0,62,8,2,1,0,1,0,5,15,4,14,2,0,0,0,71,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,class,32,35,3,32,58,1,0,57,30,0.78571427,0.30555555,0.7777778,12,0,9,3,0,0,9,0,0,0,7,2,0,7,0,0,2,0,4,229,20,5,22,2,0,11,25,60,6,53,4,0,0,0,151,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GDataConverterLE.java,mobiledevices.dmg.ghidra.GDataConverterLE,class,3,6,3,3,31,1,0,11,300,1,0,0,25,0,25,0,0,0,25,0,12,0,2,2,1,1,0,0,1,0,0,107,11,5,0,0,14,1,41,23,16,13,1,0,0,0,51,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GDataConverter.java,mobiledevices.dmg.ghidra.GDataConverter,interface,1,5,4,1,24,1,0,0,276,0,0,0,24,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,class,17,19,2,17,34,1,0,64,30,0.7777778,1,1,9,0,0,7,0,2,2,0,0,0,5,0,0,5,0,0,0,0,3,172,4,3,4,3,1,61,1,30,46,27,4,0,0,0,80,0,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsConstants.java,mobiledevices.dmg.decmpfs.DecmpfsConstants,class,1,1,0,1,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,0,1,3,0,3,0,0,0,0,19,17,0
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GFileUtilityMethods.java,mobiledevices.dmg.ghidra.GFileUtilityMethods,class,2,5,3,2,9,1,0,8,1,0.33333334,0.33333334,0.33333334,3,3,3,0,0,0,3,0,3,0,2,2,0,2,0,0,2,0,3,51,3,2,2,2,0,2,6,13,1,10,3,0,0,0,44,17,0
