file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,class,8,18,10,8,7,2,7,8,21,0,0,0,7,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,class,10,13,3,10,56,1,0,45,0,0.76000005,0.8181818,0.8181818,10,4,8,0,2,0,11,0,0,0,5,3,1,1,3,0,3,0,11,227,16,2,10,1,6,40,16,53,11,32,5,0,0,0,70,0,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\glide\PackageIconResourceLoaderFactory.java,io.virtualapp.glide.PackageIconResourceLoaderFactory,class,6,7,1,6,3,1,0,0,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,class,6,11,5,6,53,1,0,19,37,0.76388884,0.34558824,0.40441176,18,0,15,1,2,0,17,0,8,0,4,0,0,4,0,0,0,0,0,134,7,8,10,0,1,2,11,20,2,14,4,0,1,0,60,1025,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\gms\FakeGms.java,io.virtualapp.gms.FakeGms$DownloadListener,interface,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\home\ListAppPresenterImpl.java,io.virtualapp.home.ListAppPresenterImpl,class,6,7,1,6,3,1,0,4,0,0,1,1,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,0,0,0,20,0,0,1,0,0,0,0,4,0,4,1,0,0,0,18,0,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\gms\FakeGms.java,io.virtualapp.gms.FakeGms,class,17,19,2,17,54,1,0,59,3,0.6666666,0.16666667,0.16666667,6,6,4,2,0,0,4,0,0,0,7,7,0,7,0,0,6,0,22,317,28,1,14,14,10,61,13,72,16,64,6,0,1,15,119,1,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter$SelectionListener,interface,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\CardStackAdapter.java,io.virtualapp.widgets.CardStackAdapter,class,15,18,3,15,47,1,0,43,110,0.87272733,0.21323529,0.5735294,20,0,11,3,4,2,17,2,0,0,22,3,3,19,0,0,5,0,2,195,16,3,9,0,9,0,26,55,27,39,3,1,0,1,215,1025,0
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\home\ListAppFragment.java,io.virtualapp.home.ListAppFragment,class,36,38,2,36,33,3,0,72,41,0.80519485,0.16666667,0.2777778,11,2,9,2,0,0,9,0,0,0,7,2,0,7,0,0,2,0,4,213,12,1,11,4,2,15,9,34,0,45,4,1,0,10,119,1,0
