file,class,method,variable,usage
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getMaxLineCount/0,textView,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,isSingleLine/1[io.virtualapp.widgets.fittext.TextView],textView,7
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getLayoutAlignment/1[io.virtualapp.widgets.fittext.TextView],textView,6
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",textView,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getTextWidth/1[io.virtualapp.widgets.fittext.TextView],textView,5
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",LIMIT,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",textView,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,FitTextHelper/1[io.virtualapp.widgets.fittext.BaseTextView],textView,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",textView,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/3[io.virtualapp.widgets.fittext.TextView,java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",textView,13
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"isFit/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",LastNoSpace,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"isFit/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",textView,5
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\glide\PackageIconResourceLoaderFactory.java,io.virtualapp.glide.PackageIconResourceLoaderFactory,PackageIconResourceLoaderFactory/1[io.virtualapp.glide.Context],context,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\glide\PackageIconResourceLoaderFactory.java,io.virtualapp.glide.PackageIconResourceLoaderFactory,build/1[io.virtualapp.glide.MultiModelLoaderFactory],context,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,fireSelectionListener/0,mLastCount,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,fireSelectionListener/0,mSelectedIndices,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,fireSelectionListener/0,mSelectionListener,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,"restoreInstanceState/2[java.lang.String,io.virtualapp.widgets.Bundle]",mSelectedIndices,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,"saveInstanceState/2[java.lang.String,io.virtualapp.widgets.Bundle]",mSelectedIndices,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,isIndexSelected/1[int],mSelectedIndices,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,toggleSelected/1[int],mMaxSelectionCount,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\DragSelectRecyclerViewAdapter.java,io.virtualapp.widgets.DragSelectRecyclerViewAdapter,toggleSelected/1[int],mSelectedIndices,4
