file,class,method,variable,usage
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,"replaceFragment/2[int,io.virtualapp.abs.ui.Fragment]",fragment,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,"replaceFragment/2[int,io.virtualapp.abs.ui.Fragment]",id,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\abs\ui\VActivity.java,io.virtualapp.abs.ui.VActivity,findFragmentById/1[int],id,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getMaxLineCount/0,vspace,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getMaxLineCount/0,height,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,isSingleLine/1[io.virtualapp.widgets.fittext.TextView],textView,5
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,isSingleLine/1[io.virtualapp.widgets.fittext.TextView],type,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getLayoutAlignment/1[io.virtualapp.widgets.fittext.TextView],textView,4
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getLayoutAlignment/1[io.virtualapp.widgets.fittext.TextView],alignment,13
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",ssb,7
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",c,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",width,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",length,5
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",start,9
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",paint,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",end,20
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",text,10
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",lw,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",keepWord,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getLineBreaks/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",c2,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,getTextWidth/1[io.virtualapp.widgets.fittext.TextView],textView,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",high,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",min,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",max,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",low,4
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",paint,5
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",oldPaint,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"fitTextSize/4[io.virtualapp.widgets.fittext.TextPaint,java.lang.CharSequence,float,float]",text,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,FitTextHelper/1[io.virtualapp.widgets.fittext.BaseTextView],textView,2
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",paint,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/2[java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",text,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/3[io.virtualapp.widgets.fittext.TextView,java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",layout,5
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/3[io.virtualapp.widgets.fittext.TextView,java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",field,3
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/3[io.virtualapp.widgets.fittext.TextView,java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",e,1
C:\VirtualXposed-vxp\VirtualApp\app\src\main\java\io\virtualapp\widgets\fittext\FitTextHelper.java,io.virtualapp.widgets.fittext.FitTextHelper,"getStaticLayout/3[io.virtualapp.widgets.fittext.TextView,java.lang.CharSequence,io.virtualapp.widgets.fittext.TextPaint]",paint,3
