file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\item\EyeOfEnderMeta.java,net.minestom.server.entity.metadata.item.EyeOfEnderMeta,class,4,4,0,4,1,3,0,0,0,1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,0,1,2,1,2,0,0,0,0,18,1,0
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,class,5,5,0,5,9,7,0,5,0,0.6888889,0.7777778,0.7777778,9,0,9,0,0,0,9,0,0,0,5,5,2,3,0,0,5,0,1,34,4,0,0,0,0,0,7,5,3,5,0,0,0,0,39,1,0
C:\Minestom-master\src\main\java\net\minestom\server\event\player\UpdateTagListEvent.java,net.minestom.server.event.player.UpdateTagListEvent,class,3,3,0,3,2,1,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,class,6,6,0,6,6,1,0,19,15,0,0,0,6,1,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,8,6,18,0,28,1,0,0,5,29,1,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,interface,9,13,4,9,18,1,0,14,3,1,0,0,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,2,0,0,2,81,4,3,1,0,0,0,8,27,4,32,3,0,1,3,56,1,0
C:\Minestom-master\src\main\java\net\minestom\server\utils\StringUtils.java,net.minestom.server.utils.StringUtils,class,1,2,1,1,42,1,0,14,3,1,0,0,3,3,3,0,0,0,3,0,0,0,2,2,2,0,0,0,2,0,8,115,8,4,10,0,7,3,41,27,32,21,5,0,0,0,72,1,0
C:\Minestom-master\src\main\java\net\minestom\server\instance\generator\Generator.java,net.minestom.server.instance.generator.Generator,interface,2,5,3,2,2,1,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Minestom-master\src\main\java\net\minestom\server\event\EventNodeImpl.java,net.minestom.server.event.EventNodeImpl$ListenerEntry,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,10,0
C:\Minestom-master\src\main\java\net\minestom\server\item\ItemMetaViewImpl.java,net.minestom.server.item.ItemMetaViewImpl,class,6,8,2,6,5,1,0,7,3,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,25,3,0,0,2,1,0,2,4,0,4,1,0,0,0,31,16,0
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,innerclass,6,6,0,6,7,2,0,11,0,0.41666666,1,1,4,0,3,1,0,0,3,0,0,0,3,1,1,0,0,2,3,0,0,23,3,0,2,0,0,1,1,4,0,4,1,0,0,0,24,26,0
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\minecraft\ArgumentBlockState.java,net.minestom.server.command.builder.arguments.minecraft.ArgumentBlockState,class,5,7,2,5,11,2,0,10,10,0.8,0,0,5,1,5,0,0,0,5,0,0,0,4,4,4,0,0,0,4,0,2,41,5,0,4,1,0,9,7,10,0,10,2,0,0,0,46,1,0
C:\Minestom-master\src\main\java\net\minestom\server\message\Messenger.java,net.minestom.server.message.Messenger,class,10,12,2,10,12,1,0,9,21,0.92857146,0,0,7,7,6,1,0,0,7,0,0,0,4,4,1,3,0,0,4,0,4,39,6,0,2,1,0,1,2,4,0,5,1,0,0,1,90,17,0
C:\Minestom-master\src\test\java\net\minestom\server\snapshot\InstanceSnapshotIntegrationTest.java,net.minestom.server.snapshot.InstanceSnapshotIntegrationTest,class,5,5,0,5,1,1,0,14,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1,6,4,0,3,1,0,0,0,19,1,0
C:\Minestom-master\src\main\java\net\minestom\server\recipe\BlastingRecipe.java,net.minestom.server.recipe.BlastingRecipe,class,4,5,1,4,11,2,0,0,29,0.74545455,0.23636363,0.6727273,11,0,10,0,1,0,11,0,0,0,5,0,0,5,0,0,0,0,0,44,5,0,0,0,0,0,0,9,0,5,0,0,0,0,17,1025,0
C:\Minestom-master\src\main\java\net\minestom\server\utils\callback\CommandCallback.java,net.minestom.server.utils.callback.CommandCallback,interface,2,2,0,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\minecraft\ArgumentColor.java,net.minestom.server.command.builder.arguments.minecraft.ArgumentColor,class,5,6,1,5,6,2,0,6,6,0.75,0,0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,1,22,4,0,1,0,0,4,1,2,0,2,1,0,0,0,41,1,0
