file,class,method,variable,usage
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngerTicks/1[int],OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isAngry/0,OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isAngry/0,ANGRY_BIT,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isHasStung/0,HAS_STUNG_BIT,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isHasStung/0,OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngry/1[boolean],OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngry/1[boolean],ANGRY_BIT,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasNectar/1[boolean],OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasNectar/1[boolean],HAS_NECTAR_BIT,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasStung/1[boolean],HAS_STUNG_BIT,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasStung/1[boolean],OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isHasNectar/0,OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isHasNectar/0,HAS_NECTAR_BIT,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,getAngerTicks/0,OFFSET,1
C:\Minestom-master\src\main\java\net\minestom\server\event\player\UpdateTagListEvent.java,net.minestom.server.event.player.UpdateTagListEvent,getTags/0,packet,1
C:\Minestom-master\src\main\java\net\minestom\server\event\player\UpdateTagListEvent.java,net.minestom.server.event.player.UpdateTagListEvent,UpdateTagListEvent/1[net.minestom.server.event.player.TagsPacket],packet,3
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,parse/1[java.lang.String],predicate,1
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,parse/1[java.lang.String],argument,1
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,parse/1[java.lang.String],INVALID_FILTER,1
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,nodeProperties/0,argument,1
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,parser/0,argument,1
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,"ArgumentFilter/2[net.minestom.server.command.builder.arguments.Argument<T>,java.util.function.Predicate<T>]",predicate,3
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\Argument.java,net.minestom.server.command.builder.arguments.Argument$ArgumentFilter,"ArgumentFilter/2[net.minestom.server.command.builder.arguments.Argument<T>,java.util.function.Predicate<T>]",argument,10
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\minecraft\ArgumentBlockState.java,net.minestom.server.command.builder.arguments.minecraft.ArgumentBlockState,staticParse/1[java.lang.String],INVALID_BLOCK,2
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\minecraft\ArgumentBlockState.java,net.minestom.server.command.builder.arguments.minecraft.ArgumentBlockState,staticParse/1[java.lang.String],NO_BLOCK,1
C:\Minestom-master\src\main\java\net\minestom\server\command\builder\arguments\minecraft\ArgumentBlockState.java,net.minestom.server.command.builder.arguments.minecraft.ArgumentBlockState,staticParse/1[java.lang.String],INVALID_PROPERTY,1
