file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\item\EyeOfEnderMeta.java,net.minestom.server.entity.metadata.item.EyeOfEnderMeta,"EyeOfEnderMeta/2[net.minestom.server.entity.Entity,net.minestom.server.entity.Metadata]",TRUE,12,3,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngerTicks/1[int],FALSE,47,1,2,0,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isAngry/0,FALSE,19,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isHasStung/0,FALSE,27,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngry/1[boolean],FALSE,23,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasNectar/1[boolean],FALSE,39,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,"BeeMeta/2[net.minestom.server.entity.Entity,net.minestom.server.entity.Metadata]",TRUE,15,3,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasStung/1[boolean],FALSE,31,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,isHasNectar/0,FALSE,35,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,getAngerTicks/0,FALSE,43,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,8,1,0,FALSE
