file,class,method,variable,usage
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\item\EyeOfEnderMeta.java,net.minestom.server.entity.metadata.item.EyeOfEnderMeta,"EyeOfEnderMeta/2[net.minestom.server.entity.Entity,net.minestom.server.entity.Metadata]",metadata,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\item\EyeOfEnderMeta.java,net.minestom.server.entity.metadata.item.EyeOfEnderMeta,"EyeOfEnderMeta/2[net.minestom.server.entity.Entity,net.minestom.server.entity.Metadata]",entity,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngerTicks/1[int],value,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setAngry/1[boolean],value,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasNectar/1[boolean],value,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,"BeeMeta/2[net.minestom.server.entity.Entity,net.minestom.server.entity.Metadata]",metadata,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,"BeeMeta/2[net.minestom.server.entity.Entity,net.minestom.server.entity.Metadata]",entity,1
C:\Minestom-master\src\main\java\net\minestom\server\entity\metadata\animal\BeeMeta.java,net.minestom.server.entity.metadata.animal.BeeMeta,setHasStung/1[boolean],value,1
C:\Minestom-master\src\main\java\net\minestom\server\event\player\UpdateTagListEvent.java,net.minestom.server.event.player.UpdateTagListEvent,UpdateTagListEvent/1[net.minestom.server.event.player.TagsPacket],packet,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,defaultCondition/0,execution,7
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,defaultCondition/0,sender,1
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,defaultCondition/0,foo,4
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,defaultCondition/0,commandString,1
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,defaultCondition/0,graph,3
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,commandConditionFalse/0,execution,3
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,commandConditionFalse/0,condition,3
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,commandConditionFalse/0,sender,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,commandConditionFalse/0,foo,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,commandConditionFalse/0,commandString,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,commandConditionFalse/0,graph,1
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionFalse/0,execution,3
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionFalse/0,sender,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionFalse/0,foo,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionFalse/0,context,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionFalse/0,graph,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionTrue/0,execution,3
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionTrue/0,sender,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionTrue/0,foo,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionTrue/0,context,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,syntaxConditionTrue/0,graph,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,"dummyExecutor/2[net.minestom.server.command.CommandSender,net.minestom.server.command.CommandContext]",sender,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,"dummyExecutor/2[net.minestom.server.command.CommandSender,net.minestom.server.command.CommandContext]",context,0
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,emptySyntaxCondition/0,execution,4
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,emptySyntaxCondition/0,foo,2
C:\Minestom-master\src\test\java\net\minestom\server\command\GraphConversionExecutorTest.java,net.minestom.server.command.GraphConversionExecutorTest,emptySyntaxCondition/0,graph,2
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/3[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate]",itemStack,1
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/3[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate]",inventory,2
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/3[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate]",slotPredicate,1
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/2[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack]",itemStack,1
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/2[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack]",slot,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/2[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack]",inventory,1
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/2[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack]",itemStack1,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/6[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate,int,int,int]",itemStack,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/6[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate,int,int,int]",start,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/6[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate,int,int,int]",end,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/6[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate,int,int,int]",step,0
C:\Minestom-master\src\main\java\net\minestom\server\inventory\TransactionType.java,net.minestom.server.inventory.TransactionType,"process/6[net.minestom.server.inventory.AbstractInventory,net.minestom.server.inventory.ItemStack,net.minestom.server.inventory.TransactionType.SlotPredicate,int,int,int]",inventory,0
