file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,class,3,4,1,3,12,1,0,10,0,0.4583333,0.8484849,1,12,0,12,0,0,0,12,0,0,0,2,0,0,2,0,0,2,0,0,42,11,0,0,0,0,3,0,3,0,3,0,0,0,0,23,1,0
C:\halo-main\application\src\main\java\run\halo\app\extension\exception\ExtensionConvertException.java,run.halo.app.extension.exception.ExtensionConvertException,class,1,2,1,1,2,2,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\halo-main\application\src\test\java\run\halo\app\infra\HaloPropertiesExternalUrlSupplierTest.java,run.halo.app.infra.HaloPropertiesExternalUrlSupplierTest,class,7,7,0,7,1,1,0,6,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,9,0,0,0,0,0,1,0,1,0,3,0,0,0,0,16,0,0
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\ContentVo.java,run.halo.app.theme.finders.vo.ContentVo,class,4,11,7,4,1,1,0,4,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,7,1,0,0,0,0,2,0,0,0,2,0,0,0,0,12,1,0
C:\halo-main\application\src\main\java\run\halo\app\infra\properties\ConsoleProperties.java,run.halo.app.infra.properties.ConsoleProperties$ProxyProperties,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,20,9,0
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,class,7,13,6,7,4,1,0,12,1,0.5,0,0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,0,0,0,0,0,4,0,6,1,0,0,1,33,1,0
C:\halo-main\application\src\main\java\run\halo\app\infra\AnonymousUserConst.java,run.halo.app.infra.AnonymousUserConst,interface,0,0,0,0,1,1,0,1,0,0.5,NaN,NaN,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,1,0,0,0,0,2,0,2,0,2,0,0,0,0,13,1,0
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,class,17,20,3,17,4,1,0,27,6,0.75,0,0,4,0,1,2,0,1,2,0,0,0,3,0,0,3,0,0,2,0,0,23,5,0,0,0,0,5,0,3,0,9,1,0,0,3,51,1,0
C:\halo-main\application\src\main\java\run\halo\app\theme\router\PermalinkWatch.java,run.halo.app.theme.router.PermalinkWatch,interface,1,1,0,1,3,1,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\impl\PluginFinderImpl.java,run.halo.app.theme.finders.impl.PluginFinderImpl,class,5,6,1,5,3,1,0,4,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,13,3,0,1,0,0,1,0,1,0,2,1,0,0,0,14,1,0
