file,class,method,variable,usage
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getApiGroup/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getApiVersion/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getSubName/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getName/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getSubresource/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getUser/0,user,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,isReadOnly/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getPath/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,isResourceRequest/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getVerb/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getResource/0,requestInfo,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,"AttributesRecord/2[run.halo.app.security.authorization.UserDetails,run.halo.app.security.authorization.RequestInfo]",requestInfo,3
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,"AttributesRecord/2[run.halo.app.security.authorization.UserDetails,run.halo.app.security.authorization.RequestInfo]",user,3
C:\halo-main\application\src\test\java\run\halo\app\infra\HaloPropertiesExternalUrlSupplierTest.java,run.halo.app.infra.HaloPropertiesExternalUrlSupplierTest,get/0,externalUrl,1
C:\halo-main\application\src\test\java\run\halo\app\infra\HaloPropertiesExternalUrlSupplierTest.java,run.halo.app.infra.HaloPropertiesExternalUrlSupplierTest,get/0,haloProperties,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\ContentVo.java,run.halo.app.theme.finders.vo.ContentVo,empty/0,raw,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\ContentVo.java,run.halo.app.theme.finders.vo.ContentVo,empty/0,content,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,processName/1[java.lang.String],thymeleafProperties,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",haloViewResolver,1
C:\halo-main\application\src\main\java\run\halo\app\infra\AnonymousUserConst.java,run.halo.app.infra.AnonymousUserConst,isAnonymousUser/1[java.lang.String],PRINCIPAL,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",postFinder,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",environmentFetcher,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,getByName/1[java.lang.String],client,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\impl\PluginFinderImpl.java,run.halo.app.theme.finders.impl.PluginFinderImpl,available/1[java.lang.String],haloPluginManager,1
C:\halo-main\application\src\main\java\run\halo\app\extension\DefaultSchemeWatcherManager.java,run.halo.app.extension.DefaultSchemeWatcherManager,watchers/0,watchers,2
C:\halo-main\application\src\main\java\run\halo\app\extension\DefaultSchemeWatcherManager.java,run.halo.app.extension.DefaultSchemeWatcherManager,DefaultSchemeWatcherManager/0,watchers,1
C:\halo-main\application\src\main\java\run\halo\app\extension\DefaultSchemeWatcherManager.java,run.halo.app.extension.DefaultSchemeWatcherManager,unregister/1[run.halo.app.extension.SchemeWatcherManager.SchemeWatcher],watchers,1
C:\halo-main\application\src\main\java\run\halo\app\extension\DefaultSchemeWatcherManager.java,run.halo.app.extension.DefaultSchemeWatcherManager,register/1[run.halo.app.extension.SchemeWatcherManager.SchemeWatcher],watchers,1
C:\halo-main\application\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,listByNamePrefix/1[java.lang.String],repository,1
C:\halo-main\application\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,fetchByName/1[java.lang.String],repository,1
C:\halo-main\application\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,"create/2[java.lang.String,byte[]]",repository,1
C:\halo-main\application\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,"delete/2[java.lang.String,java.lang.Long]",repository,2
C:\halo-main\application\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,ExtensionStoreClientJPAImpl/1[run.halo.app.extension.store.ExtensionStoreRepository],repository,3
C:\halo-main\application\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,"update/3[java.lang.String,java.lang.Long,byte[]]",repository,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,templateEngineGenerator/1[run.halo.app.theme.CacheKey],thymeleafProperties,2
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,templateEngineGenerator/1[run.halo.app.theme.CacheKey],externalUrlSupplier,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,templateEngineGenerator/1[run.halo.app.theme.CacheKey],dialects,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,templateEngineGenerator/1[run.halo.app.theme.CacheKey],templateResolvers,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,haloTemplateResolver/0,thymeleafProperties,7
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,clearCache/1[java.lang.String],engineCache,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,clearCache/1[java.lang.String],themeResolver,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",thymeleafProperties,3
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",externalUrlSupplier,3
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",engineCache,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",themeResolver,3
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",dialects,3
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",CACHE_SIZE_LIMIT,1
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,"TemplateEngineManager/5[run.halo.app.theme.ThymeleafProperties,run.halo.app.theme.ExternalUrlSupplier,run.halo.app.theme.ObjectProvider<run.halo.app.theme.ITemplateResolver>,run.halo.app.theme.ObjectProvider<run.halo.app.theme.IDialect>,run.halo.app.theme.ThemeResolver]",templateResolvers,3
C:\halo-main\application\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,getTemplateEngine/1[run.halo.app.theme.ThemeContext],engineCache,2
C:\halo-main\application\src\test\java\run\halo\app\theme\finders\impl\CommentFinderImplTest.java,run.halo.app.theme.finders.impl.CommentFinderImplTest,extractedUser/0,userService,4
C:\halo-main\application\src\test\java\run\halo\app\theme\finders\impl\CommentFinderImplTest.java,run.halo.app.theme.finders.impl.CommentFinderImplTest,setUp/0,userService,2
C:\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\ReverseProxyReconcilerTest.java,run.halo.app.core.extension.reconciler.ReverseProxyReconcilerTest,reconcileRemoval/0,reverseProxyReconciler,1
C:\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\ReverseProxyReconcilerTest.java,run.halo.app.core.extension.reconciler.ReverseProxyReconcilerTest,reconcileRemoval/0,client,1
C:\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\ReverseProxyReconcilerTest.java,run.halo.app.core.extension.reconciler.ReverseProxyReconcilerTest,reconcileRemoval/0,routerFunctionRegistry,4
C:\halo-main\application\src\main\java\run\halo\app\plugin\PluginExtensionLoaderUtils.java,run.halo.app.plugin.PluginExtensionLoaderUtils,lookupFromJar/1[java.nio.file.Path],EXTENSION_LOCATION,1
C:\halo-main\application\src\main\java\run\halo\app\plugin\PluginExtensionLoaderUtils.java,run.halo.app.plugin.PluginExtensionLoaderUtils,lookupFromClasses/1[java.nio.file.Path],PLUGIN_CLASSPATH,1
C:\halo-main\application\src\main\java\run\halo\app\plugin\PluginExtensionLoaderUtils.java,run.halo.app.plugin.PluginExtensionLoaderUtils,lookupFromClasses/1[java.nio.file.Path],EXTENSION_LOCATION,1
C:\halo-main\application\src\main\java\run\halo\app\infra\exception\PluginAlreadyExistsException.java,run.halo.app.infra.exception.PluginAlreadyExistsException,PluginAlreadyExistsException/1[java.lang.String],PLUGIN_ALREADY_EXISTS_TYPE,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,"updateStatus/2[java.lang.String,run.halo.app.core.extension.reconciler.attachment.AttachmentStatus]",client,2
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,"AttachmentReconciler/3[run.halo.app.core.extension.reconciler.attachment.ExtensionClient,run.halo.app.plugin.ExtensionComponentsFinder,run.halo.app.core.extension.reconciler.attachment.ExternalUrlSupplier]",externalUrl,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,"AttachmentReconciler/3[run.halo.app.core.extension.reconciler.attachment.ExtensionClient,run.halo.app.plugin.ExtensionComponentsFinder,run.halo.app.core.extension.reconciler.attachment.ExternalUrlSupplier]",client,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,"AttachmentReconciler/3[run.halo.app.core.extension.reconciler.attachment.ExtensionClient,run.halo.app.plugin.ExtensionComponentsFinder,run.halo.app.core.extension.reconciler.attachment.ExternalUrlSupplier]",extensionComponentsFinder,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,removeFinalizer/1[java.lang.String],client,2
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,reconcile/1[run.halo.app.core.extension.reconciler.attachment.Request],externalUrl,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,reconcile/1[run.halo.app.core.extension.reconciler.attachment.Request],client,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,reconcile/1[run.halo.app.core.extension.reconciler.attachment.Request],extensionComponentsFinder,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\attachment\AttachmentReconciler.java,run.halo.app.core.extension.reconciler.attachment.AttachmentReconciler,"addFinalizerIfNotSet/2[java.lang.String,java.util.Set<java.lang.String>]",client,2
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\RequestInfoAuthorizationManager.java,run.halo.app.security.authorization.RequestInfoAuthorizationManager,RequestInfoAuthorizationManager/1[run.halo.app.core.extension.service.RoleService],ruleResolver,1
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\RequestInfoAuthorizationManager.java,run.halo.app.security.authorization.RequestInfoAuthorizationManager,"check/2[run.halo.app.security.authorization.Mono<run.halo.app.security.authorization.Authentication>,run.halo.app.security.authorization.AuthorizationContext]",ruleResolver,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],post,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],favicon,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],subtitle,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],logo,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],comment,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],allowRegistration,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],title,1
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\SiteSettingVo.java,run.halo.app.theme.finders.vo.SiteSettingVo,from/1[run.halo.app.theme.finders.vo.ConfigMap],seo,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,"SystemSettingReconciler/3[run.halo.app.core.extension.reconciler.ExtensionClient,run.halo.app.infra.SystemConfigurableEnvironmentFetcher,run.halo.app.core.extension.reconciler.ApplicationContext]",environmentFetcher,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,"SystemSettingReconciler/3[run.halo.app.core.extension.reconciler.ExtensionClient,run.halo.app.infra.SystemConfigurableEnvironmentFetcher,run.halo.app.core.extension.reconciler.ApplicationContext]",applicationContext,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,"SystemSettingReconciler/3[run.halo.app.core.extension.reconciler.ExtensionClient,run.halo.app.infra.SystemConfigurableEnvironmentFetcher,run.halo.app.core.extension.reconciler.ApplicationContext]",client,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,reconcile/1[run.halo.app.core.extension.reconciler.Request],routeRuleReconciler,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,reconcile/1[run.halo.app.core.extension.reconciler.Request],client,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,getConfigMap/1[java.lang.String],environmentFetcher,1
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,customizeSystem/1[java.lang.String],client,3
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,addFinalizerIfNecessary/1[run.halo.app.core.extension.reconciler.ConfigMap],client,2
C:\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\SystemSettingReconciler.java,run.halo.app.core.extension.reconciler.SystemSettingReconciler,addFinalizerIfNecessary/1[run.halo.app.core.extension.reconciler.ConfigMap],FINALIZER_NAME,2
C:\halo-main\application\src\main\java\run\halo\app\plugin\event\HaloPluginBeforeStopEvent.java,run.halo.app.plugin.event.HaloPluginBeforeStopEvent,"HaloPluginBeforeStopEvent/2[java.lang.Object,run.halo.app.plugin.event.PluginWrapper]",plugin,3
C:\halo-main\application\src\main\java\run\halo\app\plugin\event\HaloPluginBeforeStopEvent.java,run.halo.app.plugin.event.HaloPluginBeforeStopEvent,getPlugin/0,plugin,1
