file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getApiGroup/0,FALSE,52,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getApiVersion/0,FALSE,57,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getSubName/0,FALSE,72,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getName/0,FALSE,47,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getSubresource/0,FALSE,42,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getUser/0,FALSE,19,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,isReadOnly/0,FALSE,29,0,0,0,0,1,2,4,1,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getPath/0,FALSE,67,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,isResourceRequest/0,FALSE,62,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getVerb/0,FALSE,24,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,getResource/0,FALSE,37,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,"AttributesRecord/2[run.halo.app.security.authorization.UserDetails,run.halo.app.security.authorization.RequestInfo]",TRUE,13,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\extension\exception\ExtensionConvertException.java,run.halo.app.extension.exception.ExtensionConvertException,ExtensionConvertException/1[java.lang.String],TRUE,10,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\extension\exception\ExtensionConvertException.java,run.halo.app.extension.exception.ExtensionConvertException,"ExtensionConvertException/2[java.lang.String,java.lang.Throwable]",TRUE,14,0,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\halo-main\application\src\test\java\run\halo\app\infra\HaloPropertiesExternalUrlSupplierTest.java,run.halo.app.infra.HaloPropertiesExternalUrlSupplierTest,get/0,FALSE,24,1,0,0,0,1,6,5,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\ContentVo.java,run.halo.app.theme.finders.vo.ContentVo,empty/0,FALSE,26,1,0,0,0,1,4,3,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,9,0,TRUE
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,processName/1[java.lang.String],FALSE,41,0,1,1,0,2,3,7,1,1,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",FALSE,30,3,1,0,1,2,9,8,2,3,3,9,1,1,0,0,0,0,0,0,2,0,1,0,0,1,23,1,0,TRUE
C:\halo-main\application\src\main\java\run\halo\app\infra\AnonymousUserConst.java,run.halo.app.infra.AnonymousUserConst,isAnonymousUser/1[java.lang.String],FALSE,8,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,FALSE
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,handlerFunction/0,FALSE,50,3,1,1,0,1,7,7,2,2,0,7,0,0,0,0,0,0,3,0,1,0,1,0,0,1,4,0,0,FALSE
