file,class,method,variable,usage
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,isReadOnly/0,verb,3
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,"AttributesRecord/2[run.halo.app.security.authorization.UserDetails,run.halo.app.security.authorization.RequestInfo]",requestInfo,2
C:\halo-main\application\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,"AttributesRecord/2[run.halo.app.security.authorization.UserDetails,run.halo.app.security.authorization.RequestInfo]",user,2
C:\halo-main\application\src\main\java\run\halo\app\extension\exception\ExtensionConvertException.java,run.halo.app.extension.exception.ExtensionConvertException,ExtensionConvertException/1[java.lang.String],reason,1
C:\halo-main\application\src\main\java\run\halo\app\extension\exception\ExtensionConvertException.java,run.halo.app.extension.exception.ExtensionConvertException,"ExtensionConvertException/2[java.lang.String,java.lang.Throwable]",reason,1
C:\halo-main\application\src\main\java\run\halo\app\extension\exception\ExtensionConvertException.java,run.halo.app.extension.exception.ExtensionConvertException,"ExtensionConvertException/2[java.lang.String,java.lang.Throwable]",cause,1
C:\halo-main\application\src\test\java\run\halo\app\infra\HaloPropertiesExternalUrlSupplierTest.java,run.halo.app.infra.HaloPropertiesExternalUrlSupplierTest,get/0,fakeUri,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,processName/1[java.lang.String],name,3
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,processName/1[java.lang.String],nameToLookup,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",request,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",view,0
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",name,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",nameToUse,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",locale,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,"resolveViewNameOrDefault/3[run.halo.app.theme.router.ServerRequest,java.lang.String,java.lang.String]",defaultName,2
C:\halo-main\application\src\main\java\run\halo\app\infra\AnonymousUserConst.java,run.halo.app.infra.AnonymousUserConst,isAnonymousUser/1[java.lang.String],principal,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,handlerFunction/0,request,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,handlerFunction/0,name,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",request,2
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",path,3
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",name,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",pageSize,1
C:\halo-main\application\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,"postList/2[run.halo.app.theme.router.factories.ServerRequest,java.lang.String]",list,2
