cbo,wmc,dit,rfc
4,1,3,0
5,9,7,5
3,2,1,0
6,6,1,19
9,18,1,14
1,42,1,14
2,2,1,1
2,0,1,0
6,5,1,7
6,7,2,11
5,11,2,10
10,12,1,9
5,1,1,14
4,11,2,0
2,1,1,0
5,6,2,6
3,3,1,0
0,0,1,0
3,9,1,0
8,8,1,13
2,4,1,2
6,22,1,9
6,2,1,16
3,2,1,0
1,3,1,1
9,18,1,18
9,5,1,18
30,71,2,80
8,28,1,18
1,0,1,1
25,38,1,34
8,3,1,0
4,1,8,0
1,0,1,0
1,1,1,0
5,7,1,4
5,14,1,19
9,16,1,23
4,1,8,0
26,24,1,0
3,1,1,0
6,3,1,13
4,3,2,3
7,7,1,0
11,15,1,20
0,0,1,0
8,6,1,14
6,4,1,16
1,2,1,2
6,9,1,0
3,5,3,2
1,0,1,1
6,8,1,1
5,3,5,2
5,4,1,19
7,25,1,27
23,25,1,41
4,3,1,0
18,37,1,22
1,0,1,1
6,17,1,13
4,7,2,0
5,4,2,1
8,5,1,9
4,1,8,0
5,14,1,18
1,2,1,0
12,24,1,23
0,0,1,0
6,5,1,0
14,18,1,18
0,0,1,0
6,5,1,0
10,8,1,9
4,5,2,6
4,4,1,20
3,2,1,0
4,1,3,0
8,12,1,20
8,7,1,0
4,4,1,1
5,28,1,9
5,7,1,4
9,2,1,14
5,14,1,16
4,1,7,0
9,5,1,2
0,0,1,0
1,0,1,1
4,1,7,0
0,0,1,0
10,10,1,22
3,2,1,1
9,27,2,21
1,3,1,4
1,0,1,0
8,13,1,33
6,5,1,0
0,1,1,0
9,5,1,14
9,8,1,8
4,1,1,0
0,0,1,0
6,9,1,16
10,8,1,8
6,3,2,4
3,7,1,1
39,80,3,138
6,8,2,10
9,13,1,17
4,3,1,0
4,1,7,0
12,26,1,36
4,8,1,10
4,4,1,1
1,0,1,1
6,6,1,15
7,5,2,4
7,7,1,0
2,1,1,0
0,0,1,0
1,1,1,3
4,1,6,0
3,1,2,0
8,8,1,21
7,40,1,18
4,4,1,15
4,3,5,3
4,3,6,3
6,4,1,10
0,1,1,0
7,22,2,12
2,3,1,2
14,13,1,6
8,13,1,11
5,2,1,12
4,1,9,0
2,23,1,5
3,3,1,0
5,17,1,27
4,1,4,0
0,0,1,0
5,10,2,3
7,5,5,9
3,12,1,21
0,0,1,0
1,0,1,1
7,6,3,1
7,5,1,5
16,32,1,39
0,0,1,0
1,0,1,1
1,0,1,1
12,16,1,33
13,46,1,28
7,13,1,8
4,10,2,10
3,1,1,3
5,7,2,2
6,4,1,7
2,2,1,7
12,15,1,23
6,3,1,3
6,3,1,3
6,4,1,5
3,2,1,0
2,2,1,0
0,4,1,1
5,6,2,13
1,0,1,0
6,5,1,0
1,1,2,1
3,1,1,0
8,9,2,8
8,4,1,14
7,8,2,4
5,7,1,1
2,4,4,0
15,15,1,29
4,3,6,3
2,0,1,0
6,3,1,0
1,0,1,0
7,6,1,0
4,5,6,3
9,10,1,3
12,12,1,6
5,2,2,0
1,0,1,1
0,0,1,0
8,4,1,19
3,2,1,0
4,1,5,0
6,7,1,29
6,6,1,0
5,4,1,0
4,1,7,0
4,1,7,0
4,3,1,0
10,30,1,25
5,1,1,7
3,1,1,0
0,2,1,2
8,37,1,22
3,2,2,0
3,5,1,11
11,16,1,16
3,1,1,0
4,1,3,0
9,4,1,12
9,10,1,10
7,6,7,6
1,5,2,2
6,1,1,13
6,19,7,8
3,9,1,0
2,5,1,1
3,1,1,0
4,4,1,10
4,5,1,4
0,0,1,0
4,3,7,3
4,3,1,4
4,1,7,0
6,4,1,3
10,27,1,28
6,15,1,21
5,3,1,11
5,5,1,13
1,5,2,2
0,0,1,0
4,6,1,2
6,10,2,9
34,32,1,28
1,5,2,2
6,13,1,24
79,243,1,259
2,3,1,0
4,5,1,0
8,17,2,13
4,1,2,0
4,3,1,0
5,2,1,0
8,22,1,31
10,4,1,21
4,1,5,0
4,3,1,4
16,22,1,27
6,3,1,3
2,8,1,5
2,4,1,4
0,2,1,0
4,2,1,4
12,15,1,27
22,12,1,48
3,1,1,3
1,2,1,0
11,14,1,20
24,52,1,40
8,4,1,13
1,0,1,0
3,2,1,0
2,6,1,2
4,10,1,8
6,57,1,17
0,0,1,0
11,12,1,9
5,3,8,7
12,60,2,42
4,11,2,0
9,23,2,20
4,2,1,2
