cbo,wmc,dit,rfc
3,12,1,10
1,2,2,0
7,1,1,6
4,1,1,4
1,0,1,0
7,4,1,12
0,1,1,1
17,4,1,27
1,3,1,0
5,3,1,4
3,4,1,4
6,6,1,12
22,12,1,41
1,0,1,0
3,0,1,0
3,1,1,9
6,6,1,7
12,3,1,13
2,1,1,0
4,1,2,0
11,1,1,23
5,11,1,31
11,8,1,42
1,1,2,4
20,17,1,41
14,9,1,21
10,4,1,40
3,3,1,8
2,2,1,20
1,3,1,10
17,14,1,26
1,1,2,0
2,2,2,0
5,4,1,9
5,39,1,34
18,21,1,33
4,5,1,2
18,11,1,42
0,0,1,0
6,3,1,5
0,0,1,0
28,32,1,106
0,0,1,0
0,0,1,0
6,16,1,10
13,9,1,16
2,1,1,6
3,6,1,11
3,3,1,0
6,5,1,28
3,4,1,7
5,1,1,0
7,1,1,13
4,1,1,0
19,18,1,25
0,1,1,0
12,14,1,25
4,4,2,3
0,8,1,7
13,12,1,21
15,29,1,60
9,13,2,48
2,0,1,0
1,0,1,0
12,3,1,25
5,3,1,0
17,3,1,53
2,1,1,6
10,12,1,44
10,1,2,7
8,7,1,16
2,0,2,0
33,12,1,75
18,4,1,44
4,1,1,2
3,5,1,15
27,13,2,57
4,1,1,7
4,2,1,7
5,4,1,20
11,5,1,15
5,2,1,12
2,2,1,0
11,4,1,34
1,2,3,0
1,0,1,0
12,1,1,6
8,7,1,35
7,10,1,11
2,0,1,0
15,1,1,27
16,23,1,29
8,9,1,9
1,1,2,0
10,3,1,24
11,7,1,22
4,0,1,0
0,0,1,0
2,7,1,5
0,0,1,0
15,3,1,34
12,1,1,32
4,3,1,8
12,4,1,20
15,3,1,17
10,3,2,10
27,25,2,111
5,2,1,15
18,25,1,59
9,14,2,38
17,14,1,76
3,4,1,2
5,3,1,0
3,6,1,5
4,1,1,10
2,3,1,0
4,1,1,1
9,1,1,5
9,4,1,17
6,3,1,11
5,3,1,7
18,13,1,39
4,8,1,3
13,7,1,28
8,9,2,7
1,1,2,0
9,2,1,19
3,41,1,37
1,0,1,0
0,0,1,0
29,11,1,42
11,5,1,46
0,0,1,0
5,14,2,10
17,9,2,20
3,4,1,2
18,9,1,48
8,19,1,22
6,0,1,0
1,4,1,6
1,1,1,0
10,5,1,13
8,3,2,7
3,5,1,5
24,11,4,63
17,6,1,35
2,2,2,0
13,4,1,38
1,1,2,0
18,5,1,32
0,0,1,0
23,18,1,57
8,7,1,13
6,3,1,3
3,0,1,0
0,0,1,0
19,17,1,74
13,2,1,31
3,3,2,0
17,3,2,14
23,15,1,48
11,2,1,12
10,1,1,7
2,2,1,3
21,5,1,39
11,3,1,35
13,2,1,9
2,1,2,0
8,5,1,8
3,1,1,6
2,1,1,0
4,5,1,0
7,4,1,9
0,0,1,0
3,1,1,5
18,6,1,42
7,2,1,27
4,6,2,6
3,2,1,2
4,1,1,1
15,2,1,7
15,7,1,26
16,7,1,27
7,0,2,0
4,7,1,0
10,16,2,51
12,6,1,11
2,10,1,17
2,1,1,0
2,0,1,0
3,3,1,0
4,0,1,1
4,2,1,4
4,3,1,24
21,16,1,52
7,2,1,2
1,0,2,0
3,2,2,0
4,3,1,8
2,2,1,0
10,7,1,24
3,3,2,1
0,1,1,0
18,9,1,41
3,0,1,0
9,2,1,22
2,3,1,9
9,14,1,19
8,2,1,11
1,0,1,0
13,5,1,23
12,4,1,11
16,4,1,32
2,1,3,0
13,4,1,10
12,16,1,28
4,1,1,9
13,3,1,35
2,1,1,0
28,25,1,76
1,0,1,0
7,2,1,13
7,6,1,1
2,3,1,7
7,3,1,10
15,8,1,45
11,17,1,34
13,10,1,31
6,1,1,6
7,4,1,29
14,6,1,39
6,6,1,0
11,5,1,19
11,4,1,19
12,9,1,33
1,0,2,0
11,4,1,23
6,16,1,19
17,21,1,43
9,8,1,41
12,3,1,12
20,24,1,37
3,1,1,2
14,19,1,58
11,3,1,33
3,0,1,0
9,6,1,22
2,4,5,3
4,29,1,32
23,5,1,12
10,11,2,18
3,2,1,7
15,6,1,21
5,1,1,9
2,0,2,0
15,6,1,44
0,0,1,0
5,2,1,13
2,2,2,0
0,0,1,0
3,1,1,9
13,3,1,34
26,32,1,94
8,2,1,8
2,0,2,0
34,23,2,90
0,0,1,0
7,3,1,8
9,4,1,12
3,1,1,5
4,6,1,9
10,6,1,8
8,1,1,14
7,5,1,13
2,1,1,0
2,0,1,0
2,0,1,0
