cbo,wmc,dit,rfc
21,8,1,36
5,0,1,0
14,4,1,27
4,7,1,0
5,1,1,0
8,4,1,18
0,0,1,0
6,3,2,4
17,87,2,44
6,12,1,19
5,0,1,0
12,17,1,45
2,1,1,0
3,0,1,0
3,0,1,0
9,6,2,14
2,0,2,0
6,1,1,7
4,10,1,14
5,1,1,1
0,8,1,12
0,0,1,0
21,29,2,75
11,11,2,48
17,11,1,51
4,0,1,0
17,12,1,62
4,2,1,5
4,1,2,2
25,128,1,63
14,7,2,23
7,1,2,7
7,1,1,3
6,4,1,5
10,25,1,36
2,0,1,0
6,9,1,6
4,3,1,9
10,3,2,2
17,4,1,27
2,0,1,0
20,14,2,39
8,8,1,26
2,1,1,0
6,1,1,5
10,5,2,6
4,1,1,0
5,3,1,7
4,0,1,0
19,15,2,24
2,1,1,0
3,0,1,0
25,104,2,47
4,0,1,0
8,3,2,16
3,4,1,6
9,1,1,1
22,8,1,30
4,0,1,0
3,1,1,1
2,1,1,0
1,4,1,2
3,5,1,8
9,8,1,17
15,8,1,15
3,0,1,0
6,4,1,10
8,3,1,3
10,5,2,5
12,7,2,9
7,0,1,0
0,3,1,0
5,3,1,5
3,0,1,0
2,11,1,0
3,3,1,9
4,0,1,0
0,0,1,0
0,1,1,3
15,18,2,32
2,14,1,11
5,0,1,0
6,1,1,5
5,4,1,3
4,0,1,0
16,80,1,40
3,0,1,0
0,0,1,0
0,1,1,1
9,7,1,23
24,49,2,77
1,3,3,3
13,9,1,17
14,10,1,46
6,1,2,0
6,5,3,9
7,9,1,15
3,0,1,0
10,5,2,5
9,12,1,0
11,5,1,16
5,8,1,18
5,11,2,23
16,7,1,32
0,0,1,0
1,2,1,3
5,0,1,0
6,0,1,0
10,6,1,14
11,2,1,14
20,6,1,24
5,0,1,0
45,32,2,91
28,16,2,36
3,0,1,0
16,12,1,45
19,10,1,39
29,44,1,80
4,1,2,7
4,1,2,0
17,8,1,16
8,9,2,9
10,6,1,9
5,0,1,0
4,2,2,9
4,0,1,0
21,18,2,31
8,1,1,0
6,1,2,4
2,1,1,0
11,8,1,31
6,5,2,22
18,19,2,57
5,8,2,8
10,3,1,5
0,0,1,0
0,1,4,0
9,4,1,21
15,11,1,38
26,12,2,29
2,0,1,0
9,16,2,33
3,4,1,5
25,94,1,92
11,9,2,13
5,0,1,0
5,1,1,0
4,5,1,3
1,1,1,0
4,1,1,2
17,78,2,41
3,1,1,0
24,33,2,71
8,0,1,0
3,0,1,0
1,0,1,0
3,0,1,0
4,1,1,0
6,3,1,14
15,7,1,22
17,6,1,27
15,20,2,51
9,1,1,16
2,0,1,0
7,1,1,3
1,1,1,0
8,4,1,24
19,15,2,47
16,75,1,42
5,1,1,0
9,8,2,16
5,0,1,0
14,19,2,33
6,8,1,4
10,5,1,10
5,0,1,0
12,21,1,24
3,0,2,0
3,0,1,0
1,7,1,4
0,1,1,1
2,0,1,0
15,6,2,10
6,1,2,2
10,9,1,35
4,0,1,1
3,4,1,3
5,1,2,1
8,5,1,20
4,0,1,0
7,4,1,18
2,1,1,0
3,0,1,0
6,1,1,2
2,4,1,3
8,3,1,9
2,0,1,0
3,1,1,2
6,6,1,31
11,25,2,27
0,1,1,4
0,1,1,1
0,0,1,0
17,87,2,45
9,6,1,18
5,3,2,17
14,5,2,14
5,0,1,0
6,2,2,2
21,18,2,65
16,8,2,29
8,7,1,6
2,1,1,1
19,15,2,42
4,0,1,0
25,44,1,56
4,0,1,0
14,6,1,17
56,121,4,204
3,1,1,2
8,6,1,15
13,4,2,21
5,6,2,21
18,7,2,12
0,0,1,0
16,16,1,47
2,10,1,0
1,0,1,0
0,1,1,0
6,13,4,12
2,1,1,13
6,2,2,13
3,0,1,0
12,5,2,8
6,3,1,5
8,9,1,21
6,0,1,0
17,73,1,44
7,3,1,8
0,0,1,0
3,8,1,3
11,11,2,41
5,1,2,0
1,0,1,0
0,1,1,2
0,1,1,1
3,0,1,0
0,1,1,2
0,1,1,1
5,1,1,4
6,1,1,16
3,0,1,0
1,0,1,0
3,0,1,0
23,25,1,72
28,55,1,78
22,25,2,46
9,4,1,12
3,0,1,0
17,49,1,50
12,7,1,17
3,0,1,0
15,12,2,31
2,0,1,0
11,28,1,44
7,1,1,2
6,4,1,10
12,9,2,46
8.085820896,9.003731343,1.287313433,14.85074627
